"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"75",0,1.24957233191249,0.71,0.092,0,"B-Cells","AP000304.12"
"76",0,1.24278998445844,0.727,0.1,0,"B-Cells","LIMA1"
"77",0,1.24042951497999,0.7,0.077,0,"B-Cells","LDLRAD3"
"78",0,1.23802055905933,0.636,0.036,0,"B-Cells","RP1-193H18.3"
"79",0,1.22983109607732,0.638,0.049,0,"B-Cells","SEMA3A"
"80",0,1.21697546426444,0.628,0.072,0,"B-Cells","PLA2G16"
"81",0,1.21520944712541,0.609,0.04,0,"B-Cells","RETSAT"
"82",0,1.21173383017137,0.663,0.054,0,"B-Cells","ELOVL5"
"83",0,1.21144071259871,0.73,0.134,0,"B-Cells","RTN4"
"84",0,1.20751566317814,0.71,0.101,0,"B-Cells","SLIT3"
"85",0,1.19954778093517,0.655,0.062,0,"B-Cells","TNFAIP8"
"86",0,1.19612781813089,0.724,0.118,0,"B-Cells","MAOA"
"87",0,1.18987042410913,0.564,0.046,0,"B-Cells","ABHD5"
"88",0,1.17878606919385,0.649,0.062,0,"B-Cells","PFKFB3"
"89",0,1.17539091085073,0.663,0.079,0,"B-Cells","CARMN"
"90",0,1.17391199199339,0.59,0.052,0,"B-Cells","NHS"
"91",0,1.17025274208748,0.617,0.044,0,"B-Cells","ATP9A"
"92",0,1.16994208256584,0.676,0.155,0,"B-Cells","FP325317.1"
"93",0,1.16481261446619,0.646,0.061,0,"B-Cells","ACO1"
"94",0,1.16394799189347,0.653,0.115,0,"B-Cells","PLIN5"
"95",0,1.15935787672821,0.573,0.04,0,"B-Cells","C8orf34"
"96",0,1.14547532193584,0.71,0.128,0,"B-Cells","ADIPOR2"
"97",0,1.1438704820272,0.653,0.081,0,"B-Cells","AC005592.2"
"98",9.44601950993525e-279,1.28316494095466,0.879,0.465,7.07884702074548e-275,"B-Cells","GBE1"
"99",9.59374570369061e-267,1.40748536367142,0.863,0.296,7.18955303034575e-263,"B-Cells","PTEN"
"100",6.21859862192025e-261,1.2904506497316,0.85,0.291,4.66021780726704e-257,"B-Cells","SLC1A3"
"101",0,4.05808756764949,0.868,0.038,0,"Neuronal Cells","NRXN1"
"102",0,3.5494275034159,0.832,0.063,0,"Neuronal Cells","NRXN3"
