p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.665306164,0.806,0.236,0,0,OBSCN
0,0.658728675,0.702,0.218,0,0,HSDL2
0,0.658007827,0.92,0.281,0,0,CCSER1
0,0.657970378,0.874,0.292,0,0,VWA8
0,0.655954247,0.539,0.154,0,0,VLDLR-AS1
0,0.655558836,0.555,0.156,0,0,TRIQK
0,0.655404063,0.746,0.208,0,0,MYLK3
0,0.655294581,0.621,0.189,0,0,PPM1K
0,0.655170279,0.973,0.376,0,0,RBFOX1
0,0.654634,0.85,0.293,0,0,TBC1D4
0,0.653827249,0.86,0.268,0,0,ANK3
0,0.652414232,0.796,0.285,0,0,INPP4B
0,0.648954632,0.533,0.145,0,0,ATP1A2
0,0.646706139,0.998,0.634,0,0,CD36
0,0.646247689,0.668,0.198,0,0,AQP7
0,0.641588971,0.535,0.155,0,0,B4GALNT3
0,0.6405478,0.521,0.157,0,0,CADM1
0,0.635245662,0.453,0.113,0,0,SAMD12
0,0.631925009,0.949,0.394,0,0,NLGN1
0,0.631370574,0.988,0.452,0,0,PSD3
0,0.629234142,0.869,0.314,0,0,LRRFIP2
0,0.62869875,0.699,0.204,0,0,LRRC2
0,0.628089499,0.962,0.407,0,0,KANK1
0,0.626679967,0.416,0.115,0,0,CADPS
0,0.625298614,0.766,0.242,0,0,PPP2R3A
0,0.62525007,0.678,0.21,0,0,C14orf159
0,0.622677537,0.707,0.228,0,0,SLC7A6
0,0.621452752,0.524,0.163,0,0,RP11-308N19.1
0,0.620268672,0.678,0.213,0,0,KLHL7
0,0.619898423,0.97,0.438,0,0,CAMK2D
0,0.619364462,0.994,0.488,0,0,PARK2
0,0.617381741,0.93,0.283,0,0,ERBB4
0,0.616771666,0.461,0.128,0,0,CPVL
0,0.616343539,0.825,0.242,0,0,PACRG
0,0.616251572,0.357,0.098,0,0,ADGRL3-AS1
0,0.616226223,0.735,0.223,0,0,LMO7
0,0.615234968,0.797,0.259,0,0,SLC16A7
0,0.612373715,0.563,0.17,0,0,FBXO40
0,0.611796169,0.572,0.169,0,0,WNK2
0,0.608196514,0.609,0.188,0,0,ADPRHL1
0,0.606231772,0.765,0.246,0,0,PLN
0,0.604346819,0.496,0.153,0,0,VWC2
0,0.60362979,0.556,0.171,0,0,PPP1R9A
0,0.60281671,0.797,0.265,0,0,HADHB
0,0.601231902,0.828,0.32,0,0,AC013461.1
0,0.601189764,0.54,0.167,0,0,CSDC2
0,0.59909322,0.298,0.073,0,0,CTD-2282P23.2
0,0.597889227,0.696,0.209,0,0,RALYL
0,0.596802497,0.637,0.197,0,0,SRL
0,0.596397276,0.574,0.169,0,0,KCND3
0,0.591531863,0.351,0.1,0,0,PKIA
0,0.591025515,0.376,0.104,0,0,FBN2
0,0.590572033,0.571,0.182,0,0,FBXO32
0,0.589929811,1,0.559,0,0,TTN
0,0.58966753,0.465,0.147,0,0,MLF1
0,0.588173224,0.99,0.416,0,0,PLCL1
0,0.586211177,0.491,0.156,0,0,BCO2
0,0.58525108,0.466,0.15,0,0,USP13
0,0.582539606,0.988,0.455,0,0,EXOC6B
0,0.582419687,0.803,0.272,0,0,ADGRL2
0,0.582405476,0.42,0.132,0,0,ASB15
0,0.579935354,0.812,0.273,0,0,FAM129A
0,0.578059925,0.538,0.177,0,0,CAP2
0,0.576899432,0.451,0.143,0,0,SMYD1
0,0.573852652,0.837,0.275,0,0,PPP1R13B
0,0.571767549,0.495,0.159,0,0,MAPRE2
0,0.570574405,0.543,0.182,0,0,P4HA1
0,0.56952641,0.992,0.54,0,0,PLEKHA5
0,0.568622403,0.583,0.191,0,0,NCKAP5
0,0.56813029,0.884,0.354,0,0,AAK1
0,0.566974503,0.344,0.106,0,0,DUSP27
0,0.565216651,0.813,0.255,0,0,RGS6
0,0.565129255,0.768,0.28,0,0,ST3GAL1
0,0.560636468,0.531,0.18,0,0,LCLAT1
0,0.558626254,0.7,0.232,0,0,MICAL3
0,0.557867883,0.425,0.133,0,0,LMOD2
0,0.555598473,0.648,0.221,0,0,CPED1
0,0.555326525,0.515,0.168,0,0,KLHL31
0,0.554095188,0.506,0.171,0,0,KIF21A
0,0.55231047,0.429,0.135,0,0,FAM160A1
0,0.550295278,0.405,0.127,0,0,STRBP
0,0.548982369,0.385,0.126,0,0,TXLNB
0,0.54764593,0.284,0.068,0,0,LINC00923
0,0.546785373,0.733,0.263,0,0,FRY
0,0.546600018,0.429,0.144,0,0,STK33
0,0.546418004,0.409,0.136,0,0,GOT1
0,0.545774197,0.8,0.285,0,0,KLHL24
0,0.543160255,0.331,0.103,0,0,RNF207
0,0.543062936,0.346,0.106,0,0,NNT-AS1
0,0.54257977,0.996,0.636,0,0,AKAP13
0,0.542539113,0.779,0.289,0,0,DANT2
0,0.541904906,0.814,0.285,0,0,CERS6
0,0.540924152,0.682,0.236,0,0,ST7
0,0.540143244,0.361,0.107,0,0,SH3RF2
0,0.539870265,0.92,0.386,0,0,PAM
0,0.538442678,0.425,0.144,0,0,MGAT4C
0,0.538203965,0.417,0.134,0,0,SCN5A
0,0.535984695,0.35,0.111,0,0,SYNDIG1
0,0.533863171,0.994,0.383,0,0,CMYA5
0,0.53200131,0.446,0.183,0,0,EYA4
0,0.530847219,0.782,0.28,0,0,TANC1
0,0.53006316,0.466,0.165,0,0,HACD1
0,0.529896389,0.997,0.509,0,0,DLG2
0,0.529533412,0.354,0.111,0,0,RP11-121C2.3
0,0.528418943,0.799,0.291,0,0,SLMAP
0,0.528105483,0.631,0.224,0,0,NNT
0,0.527161802,0.992,0.482,0,0,RABGAP1L
0,0.526762781,0.641,0.246,0,0,IPO9-AS1
0,0.52654915,0.55,0.198,0,0,NPAS2
0,0.52569734,0.781,0.316,0,0,KIF13A
0,0.524964556,0.64,0.234,0,0,GAB1
0,0.524802223,0.383,0.128,0,0,ATP1B1
0,0.524324788,0.746,0.298,0,0,THRB
0,0.523416036,0.844,0.324,0,0,WDPCP
0,0.522988148,0.924,0.356,0,0,SVIL
0,0.5227462,0.341,0.117,0,0,TMEM116
0,0.521684132,0.383,0.118,0,0,ANKRD2
0,0.521184893,0.853,0.308,0,0,ATP2A2
0,0.520519057,0.97,0.409,0,0,TTN-AS1
0,0.518117181,0.189,0.025,0,0,RP11-886D15.1
0,0.516748082,0.678,0.237,0,0,DYNC1I1
0,0.511713075,0.884,0.344,0,0,SOX6
0,0.511421803,0.248,0.071,0,0,C10orf71
0,0.509609687,0.607,0.237,0,0,Mar-03
0,0.508816818,0.542,0.19,0,0,SEMA5A
0,0.508725128,0.649,0.228,0,0,MACROD2
0,0.507732107,0.729,0.27,0,0,SESN1
0,0.507143334,0.51,0.174,0,0,HAND2-AS1
0,0.504646652,0.445,0.158,0,0,RP11-141M1.3
0,0.504370738,0.413,0.136,0,0,CORIN
0,0.502147656,0.348,0.125,0,0,SLC5A1
0,0.501038598,0.549,0.201,0,0,MPP3
0,0.500987227,0.811,0.345,0,0,LINC00969
